Score,Accuracy,Precision,Recall,F1 Score,max_f1score
-1.1875,0.457142857,0.5,0.105263158,0.173913043,0
-0.579487179,0.607142857,0.6,0.461538462,0.52173913,0.173913043
-0.607142857,0.6,0.7,0.4375,0.538461538,0.52173913
-1.571428571,0.388888889,0,0,0,0.538461538
-0.6,0.6,0.714285714,0.333333333,0.454545455,0.538461538
-0.657142857,0.586206897,0.666666667,0.4,0.5,0.538461538
-1.395454545,0.451612903,0.615384615,0.4,0.484848485,0.538461538
-0.676190476,0.636363636,0.818181818,0.6,0.692307692,0.538461538
-1.514285714,0.454545455,0.666666667,0.4,0.5,0.692307692
-1.4375,0.423076923,0.222222222,0.2,0.210526316,0.692307692
-1.321428571,0.423076923,0.333333333,0.25,0.285714286,0.692307692
-1.1875,0.464285714,0.333333333,0.25,0.285714286,0.692307692
-1.022222222,0.535714286,0.666666667,0.555555556,0.606060606,0.692307692
-1.01025641,0.5,0.571428571,0.266666667,0.363636364,0.692307692
-1.305147059,0.424242424,0.416666667,0.294117647,0.344827586,0.692307692
-1.428571429,0.411764706,0.285714286,0.285714286,0.285714286,0.692307692
-0.941176471,0.515151515,0.538461538,0.411764706,0.466666667,0.692307692
-1.147619048,0.463414634,0.454545455,0.5,0.476190476,0.692307692
-1.132352941,0.482758621,0.363636364,0.333333333,0.347826087,0.692307692
-1.333333333,0.428571429,0.5,0.375,0.428571429,0.692307692
-0.900452489,0.533333333,0.466666667,0.538461538,0.5,0.692307692
-1.258823529,0.4375,0.466666667,0.411764706,0.4375,0.692307692
-0.78021978,0.555555556,0.555555556,0.384615385,0.454545455,0.692307692
-0.4625,0.638888889,0.615384615,0.5,0.551724138,0.692307692
-1.008928571,0.5,0.466666667,0.5,0.482758621,0.692307692
-1.447368421,0.419354839,0.25,0.25,0.25,0.692307692
-1.195833333,0.451612903,0.454545455,0.3125,0.37037037,0.692307692
-1.196969697,0.482758621,0.3,0.272727273,0.285714286,0.692307692
-0.291666667,0.677419355,0.727272727,0.533333333,0.615384615,0.692307692
-1.072368421,0.485714286,0.428571429,0.375,0.4,0.692307692
-0.392857143,0.653846154,0.692307692,0.642857143,0.666666667,0.692307692
-1.285714286,0.428571429,0.375,0.214285714,0.272727273,0.692307692
-0.344444444,0.666666667,0.666666667,0.533333333,0.592592593,0.692307692
-0.666666667,0.6,0.5,0.666666667,0.571428571,0.692307692
-1.321428571,0.423076923,0.285714286,0.166666667,0.210526316,0.692307692
-0.461038961,0.64,0.6,0.545454545,0.571428571,0.692307692
-1.083333333,0.5,0.375,0.375,0.375,0.692307692
