Score,Accuracy,Precision,Recall,F1 Score,max_f1score
-0.822596503,0.544662309,0.543026706,0.409395973,0.466836735,0
-0.968273318,0.507954545,0.503236246,0.711670481,0.58957346,0.466836735
-0.924193428,0.518973214,0.513192612,0.862527716,0.643507031,0.58957346
-0.921320619,0.519685039,0.514395393,0.606334842,0.556593977,0.643507031
-0.834696842,0.542590432,0.517326733,0.514778325,0.516049383,0.643507031
-0.887505947,0.529100529,0.504477612,0.749445676,0.603033006,0.643507031
-0.913331212,0.52173913,0.517857143,0.458239278,0.486227545,0.643507031
-0.870063115,0.532777116,0.513678,0.8945,0.7248,0.643507031
-1.024123422,0.494456763,0.486860304,0.805491991,0.606896552,0.7248
